价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,每平米价格
1330.0,9.0,38738-A,3室1卫,9/11层,房山区,良乡大学城西,紫汇家园,地铁：距房山线良乡大学城西站550米,147.77777777777777
5810.0,39.0,64752-A,1室1卫,9/12层,东城区,广渠门内,绿景苑,地铁：距7号线广渠门内站650米,148.97435897435898
4820.0,36.0,65359-A,1室1卫,1/6层,东城区,景泰,定安里,地铁：距14号线东段景泰站450米,133.88888888888889
1850.0,9.0,185-B,4室2卫,2/27层,朝阳区,管庄,京通苑阳光华苑,地铁：距八通线管庄站500米,205.55555555555554
9000.0,116.0,17830-A,2室1卫,8/16层,朝阳区,十里堡,天天朝阳,地铁：距6号线十里堡站850米,77.58620689655173
1720.0,9.0,30651-B,4室1卫,10/28层,通州区,土桥,华远铭悦,地铁：距八通线土桥站950米,191.11111111111111
1790.0,10.0,81486-C,5室2卫,1/6层,朝阳区,八里桥,西马庄园,地铁：距八通线八里桥站1150米,179.0
5140.0,49.0,23104-A,1室1卫,2/18层,丰台区,海户屯,西罗园南里,地铁：距8号线南段海户屯站650米,104.89795918367346
2260.0,13.0,9832-B,3室1卫,8/16层,朝阳区,管庄,众亿嘉园,地铁：距八通线管庄站800米,173.84615384615384
4400.0,56.0,16256-A,1室1卫,8/22层,通州区,物资学院路,悦澜水岸家园,地铁：距6号线物资学院路站2350米,78.57142857142857
2700.0,9.0,73992-B,2室1卫,11/12层,丰台区,刘家窑,南三环东路,地铁：距5号线刘家窑站150米,300.0
2320.0,9.0,2331-A,3室1卫,3/26层,朝阳区,高碑店,金隅汇星苑,地铁：距6号线青年路站1450米,257.77777777777777
2700.0,10.0,8123-D,4室1卫,4/13层,朝阳区,青年路,青年汇佳园,地铁：距6号线青年路站250米,270.0
2590.0,10.0,22010-C,4室2卫,22/26层,朝阳区,四惠东,都市经典家园,"地铁：距1号线,八通线四惠东站700米",259.0
1470.0,11.0,23724-A,3室1卫,2/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米,133.63636363636363
1860.0,9.0,25745-C,3室1卫,16/22层,朝阳区,东坝中街,北京城建福润四季,地铁：距3号线东坝中街站2800米,206.66666666666666
3440.0,18.0,124815-E,6室2卫,9/9层,朝阳区,朝阳门,大方家胡同,"地铁：距2号线,6号线朝阳门站650米",191.11111111111111
1790.0,10.0,19708-A,5室1卫,20/20层,通州区,九棵树,龙湖蔚澜香醍,地铁：距八通线果园站1050米,179.0
7360.0,88.0,29612-A,2室1卫,4/28层,朝阳区,潘家园,潘家园南里,地铁：距10号线潘家园站950米,83.63636363636364
1450.0,12.0,146745-C,3室1卫,5/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米,120.83333333333333
1740.0,11.0,33621-A,3室1卫,6/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米,158.1818181818182
2460.0,11.0,68894-B,3室1卫,21/29层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米,223.63636363636363
5170.0,47.0,64760-A,1室1卫,4/24层,丰台区,木樨园,珠江骏景北区,地铁：距8号线南段木樨园站550米,110.0
1910.0,10.0,59863-A,4室1卫,8/15层,朝阳区,管庄,远洋一方润园6号院,地铁：距八通线管庄站700米,191.0
4400.0,44.0,79816-A,1室1卫,26/28层,通州区,通州北关,财富东方,地铁：距6号线通州北关站800米,100.0
1950.0,13.0,69100-B,5室2卫,22/24层,朝阳区,八里桥,长桥园公寓,地铁：距八通线八里桥站650米,150.0
5480.0,46.0,11023-A,1室1卫,5/6层,朝阳区,平乐园,平乐园,地铁：距14号线东段平乐园站450米,119.1304347826087
6100.0,55.0,15366-A,1室1卫,6/21层,丰台区,刘家窑,筑梦园,地铁：距5号线刘家窑站350米,110.9090909090909
1800.0,9.0,23736-B,3室1卫,4/20层,朝阳区,东坝中街,金驹家园,地铁：距6号线褡裢坡站4200米,200.0
2140.0,11.0,11735-E,8室3卫,1/3层,朝阳区,双桥,水郡长安,地铁：距八通线双桥站800米,194.54545454545453
3420.0,10.0,807-C,4室1卫,14/16层,朝阳区,朝阳门,朝内小区,"地铁：距2号线,6号线朝阳门站300米",342.0
7010.0,42.0,142974-A,1室1卫,7/15层,海淀区,魏公村,私摩空间,地铁：距4号线大兴线魏公村站1050米,166.9047619047619
2160.0,8.0,18862-C,3室1卫,14/29层,朝阳区,北岗子,恒大华府,"地铁：距12号线,平谷线北岗子站700米",270.0
4260.0,68.0,39378-A,1室1卫,4/6层,通州区,临河里,群芳园,地铁：距八通线临河里站1200米,62.64705882352941
6790.0,57.0,50439-A,1室1卫,8/8层,朝阳区,百子湾,沿海赛洛城,地铁：距7号线百子湾站650米,119.12280701754386
1740.0,11.0,52110-A,3室1卫,3/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米,158.1818181818182
8880.0,49.0,61851-A,1室1卫,6/9层,东城区,东四十条,东外公馆,"地铁：距2号线,3号线东四十条站750米",181.22448979591837
4550.0,42.0,121692-A,1室1卫,1/26层,朝阳区,草房,住欣家园,地铁：距6号线草房站450米,108.33333333333333
2890.0,13.0,1016-B,3室2卫,5/11层,朝阳区,高碑店,美丽亚洲假日花园,地铁：距八通线高碑店站650米,222.30769230769232
1900.0,10.0,124667-A,2室1卫,4/6层,通州区,梨园,葛布店东里,地铁：距八通线梨园站700米,190.0
8810.0,48.0,141534-A,1室1卫,23/34层,朝阳区,大望路,阳光100,"地铁：距1号线,14号线东段大望路站400米",183.54166666666666
2140.0,9.0,12952-B,3室1卫,2/27层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米,237.77777777777777
11260.0,76.0,144657-A,2室1卫,20/28层,海淀区,知春路,碧兴园,"地铁：距13号线,10号线知春路站250米",148.1578947368421
9730.0,86.0,145264-A,2室1卫,2/28层,朝阳区,大郊亭,后现代城,地铁：距7号线大郊亭站650米,113.13953488372093
9730.0,88.0,146846-A,1室1卫,16/38层,朝阳区,大望路,soho现代城,"地铁：距1号线,14号线东段大望路站250米",110.56818181818181
8130.0,61.0,148064-A,2室1卫,1/6层,海淀区,圆明园,厢白旗甲1号院,地铁：距4号线大兴线圆明园站1850米,133.27868852459017
4150.0,84.0,148207-A,2室1卫,4/6层,顺义区,顺义,双兴南区,地铁：距15号线顺义站1000米,49.404761904761905
9680.0,103.0,149586-A,2室1卫,19/28层,朝阳区,双井,百环家园,"地铁：距7号线,10号线双井站550米",93.98058252427184
6530.0,41.0,150152-A,1室1卫,9/17层,海淀区,魏公村,私摩空间,地铁：距4号线大兴线魏公村站1050米,159.26829268292684
