Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
1001g10,Basic 10oz Goblet,"<p>Merchandise Connection - 10oz Goblet</p>
<div>Packed 48/cs<br> ≈í√¶
<div></div>
</div>",Merchandise Connection,Glassware/Stemware,"",false,Title,Default,,,,,1001G10,27,,deny,manual,114.00,336.00,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/10102011103547am1206.jpeg?v=1571438498,1,Basic 10oz Goblet - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
1001m07,Basic 7oz Margarita Glass,"7oz Margarita Glass
<div>Packed 48/cs</div>",Merchandise Connection,Glassware/Stemware,"Basic Margarita Glass, Margarita Glass",false,Title,Default,,,,,,23,,deny,manual,126.00,336.00,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/10102011103510am6176.jpeg?v=1571438498,1,Basic 7oz Margarita Glass - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
1001r08,Basic 8oz Wine Glass,"8oz Wine Glass
<div>Packed 48/cs</div>",Merchandise Connection,Glassware/Stemware,"8oz Wine Glass, All Purpose Wine Glass, Basic 8oz Wine Glass",false,Title,Default,,,,,,18,,deny,manual,126.00,336.00,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/10102011103528am1230.jpeg?v=1571438498,1,Basic 8oz Wine Glass - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
1001x09,Basic 9oz Brandy Glass,"9oz Brandy Glass
<div>Packed 48/cs</div>",Merchandise Connection,Glassware/Stemware,"9oz Brandy, 9oz Snifter, Basic 9oz Brandy Glass, Brandy Snifter, Cognac Glass",false,Title,Default,,,,,,18,,deny,manual,126.00,336.00,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/10102011103452am2634.jpeg?v=1571438498,1,Basic 9oz Brandy Glass - iFoodservice Online,false,,,,,,,,,,,,,,,,,lb,,
eurodib-15000-the-chef-mandoline,"15000 Mandoline ""The Chef""","<p>This sturdy stainless steel mandoline allows you to cut even the most delicate fruits and vegetables with precision. You can choose from a variety of cutting shapes and thickness allowing you to make chips, matchsticks or waffle-cuts easily and you can slice and shred with ease. Julienne vegetables or cut perfect French fries. With only one lever for adjustment, this chef-style mandoline is easy to operate. The reversible stand features 2 support handles for double use, for holding the mandoline in your hand and the other for supporting it on the countertop. It also boasts a non-skid support of maximum safety</p>
<section class=""product-details row"">
<section class=""product-specifications"">
<h4>SPECIFICATIONS</h4>
<article>Multi-cuts: Julienne cuts, waffle cuts, slice or crinkle cuts. Precise thickness adjustment until 12.7 mm (0.5 in). Complete mandoline with guard, stand, 4 Julienne blades (2, 4, 7, and 10 mm), and blade storage box.</article>
<ul>
<li>
<span class=""spec-title"">Material:ξ</span>Mandoline: 18/10 stainless steel; Guard: black polycarbonate; Blades: special hard stainless steel (razor sharp).</li>
<li>
<span class=""spec-title"">Origin:ξ</span>France</li>
<li>
<span class=""spec-title"">Warranty:ξ</span>3 months</li>
</ul>
</section>
</section>
<p>ξ</p>
<p>ξ</p>",Eurodib,Kitchen Tools,"Best Mandoline, Chef Mandoline, Commercial Mandoline, Mandoline, Professional Mandoline, The Chef Mandoline",true,Title,Default Title,,,,,'15000,2268,,deny,manual,168.93,284.00,true,true,'3700265020511,https://cdn.shopify.com/s/files/1/0218/1566/products/15000.jpg?v=1579699264,1,"15000 Mandoline ""The Chef"" - iFoodservice Online",false,Best Price on The Chef Mandoline Item 15000,,,,,,,,,,,,,,,,lb,,134.90
accessories-contour-bowl-32-oz-18-case,"Accessories, Contour Bowl  32 Oz.(18/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: A19481</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 18</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;"">8"" X 7.25"" X 3.5""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;"">32 Oz.</td>
<td class=""xl84"" style=""text-align: center;"">2.08</td>
<td class=""xl84"" style=""text-align: center;"">38.94</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware,Whittier,true,Title,Default Title,,,,,A19481,17663,,deny,manual,181.45,353.70,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/A19481_6ed974ab-e528-49be-9422-1dfa73f9750f.jpg?v=1571438520,1,"Accessories, Contour Bowl  32 Oz.(18/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
accessories-oval-platter-24-case,"Accessories, Oval Platter   (24/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: A5102</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 24</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;"">12.5"" X 5.75"" X 1.25""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">1.29</td>
<td class=""xl84"" style=""text-align: center;"">32.46</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware,Whittier,true,Title,Default Title,,,,,A5102,14724,,deny,manual,186.77,364.08,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/A5102_7e082922-888f-4362-b9aa-c61fe6b1c66e.jpg?v=1571438520,1,"Accessories, Oval Platter   (24/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
accessories-wavy-footed-bowl-5-oz-48-case,"Accessories, Wavy Footed Bowl  5 Oz.(48/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: A6424</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 48</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;"">4.5"" X 4.5"" X 2.5""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;"">5 Oz.</td>
<td class=""xl84"" style=""text-align: center;"">0.64</td>
<td class=""xl84"" style=""text-align: center;"">32.22</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware,Whittier,true,Title,Default Title,,,,,A6424,14615,,deny,manual,230.48,449.28,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/A6424_6bd94f50-141e-46f6-8f07-55e076c0f162.jpg?v=1571438520,1,"Accessories, Wavy Footed Bowl  5 Oz.(48/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
arctic-10recpltr-dinnerware-rectangular-platter-24-case,"ARCTIC-10RECPLTR, DINNERWARE, Rectangular Platter  (24/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: ARCTIC-10RECPLTR</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 24</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;"">10"" X 6.375""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">1.45</td>
<td class=""xl84"" style=""text-align: center;"">35.3</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware,ARCTIC BLUE,true,Title,Default Title,,,,,ARCTIC-10RECPLTR,16012,,deny,manual,298.44,581.76,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/ARCTIC-10RECPLTR_5541de25-8b91-4943-ab45-e7488c6664f3.jpg?v=1571438520,1,"ARCTIC-10RECPLTR, DINNERWARE, Rectangular Platter  (24/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
arctic-14recpltr-dinnerware-rectangular-platter-15-case,"ARCTIC-14RECPLTR, DINNERWARE, Rectangular Platter  (15/Case)","<h3 style=""text-align: left;"">Detail</h3>
<p>Brand: 10 Strawberry Street</p>
<p>Item number: ARCTIC-14RECPLTR</p><h3 style=""text-align: left;"">Shipment</h3>
<p>Sold As Case of 15</p>
<p>Usually ships in 2 to 5 business days</p>
<h3>Specifications</h3>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""261"">
<colgroup><col width=""87"" span=""3""></colgroup>
<tbody>
<tr height=""107"">
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Dimensions</td>
<td height=""107"" class=""xl81"" width=""87"" style=""text-align: center;"">Capacity</td>
<td class=""xl82"" width=""87"" style=""text-align: center;"">Product Weight</td>
<td class=""xl81"" width=""87"" style=""text-align: center;"">Ship Weight</td>
</tr>
<tr height=""20"">
<td height=""20"" class=""xl83"" style=""text-align: center;"">14"" X 7.75""</td>
<td height=""20"" class=""xl83"" style=""text-align: center;""> </td>
<td class=""xl84"" style=""text-align: center;"">2.75</td>
<td class=""xl84"" style=""text-align: center;"">41.9</td>
</tr>
</tbody>
</table>",10 Strawberry Street,Dinnerware,ARCTIC BLUE,true,Title,Default Title,,,,,ARCTIC-14RECPLTR,19006,,deny,manual,315.80,615.60,true,true,,https://cdn.shopify.com/s/files/1/0218/1566/products/ARCTIC-14RECPLTR_1e8b41a3-072d-4765-8a36-a240373f5a8e.jpg?v=1571438520,1,"ARCTIC-14RECPLTR, DINNERWARE, Rectangular Platter  (15/Case) - iFoodservice Online",false,,,,,,,,,,,,,,,,,lb,,
